[WARN] 2018-02-19 12:20:26,696 Images could not be sttiched.
[WARN] 2018-02-19 12:20:26,703 Images could not be sttiched.
[WARN] 2018-02-19 12:20:26,709 Images could not be sttiched.
[WARN] 2018-02-19 12:20:26,715 Images could not be sttiched.
[WARN] 2018-02-19 12:20:26,723 Images could not be sttiched.
[WARN] 2018-02-19 12:20:26,731 Images could not be sttiched.
[WARN] 2018-02-19 12:20:26,743 Images could not be sttiched.
[INFO] 2018-02-19 12:23:56,777 Image Mosaicing starts
[DEBUG] 2018-02-19 12:23:56,777 Working directory switched to one directory back
[WARN] 2018-02-19 12:23:57,058 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,085 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,112 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,143 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,174 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,196 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,222 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,247 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,272 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,303 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,324 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,351 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,377 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,408 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,437 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,464 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,488 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,514 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,550 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,571 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,594 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,624 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,643 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,663 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,677 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,696 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,715 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,738 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,757 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,776 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,791 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,804 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,817 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,832 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,850 Images could not be sttiched.
[WARN] 2018-02-19 12:23:57,865 Images could not be sttiched.
